Country,Year,Happiness score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Trinidad & Tobago,2018,6.192,1.223,1.492,0.564,0.575,0.171,0.019
Slovakia,2018,6.173,1.21,1.537,0.776,0.354,0.118,0.014
El Salvador,2018,6.167,0.806,1.231,0.639,0.461,0.065,0.082
Nicaragua,2018,6.141,0.668,1.319,0.7,0.527,0.208,0.128
Poland,2018,6.123,1.176,1.448,0.781,0.546,0.108,0.064
Bahrain,2018,6.105,1.338,1.366,0.698,0.594,0.243,0.123
Uzbekistan,2018,6.096,0.719,1.584,0.605,0.724,0.328,0.259
Kuwait,2018,6.083,1.474,1.301,0.675,0.554,0.167,0.106
Thailand,2018,6.072,1.016,1.417,0.707,0.637,0.364,0.029
Italy,2018,6,1.264,1.501,0.946,0.281,0.137,0.028
Ecuador,2018,5.973,0.889,1.33,0.736,0.556,0.114,0.12
Belize,2018,5.956,0.807,1.101,0.474,0.593,0.183,0.089
Lithuania,2018,5.952,1.197,1.527,0.716,0.35,0.026,0.006
Slovenia,2018,5.948,1.219,1.506,0.856,0.633,0.16,0.051
Romania,2018,5.945,1.116,1.219,0.726,0.528,0.088,0.001
Latvia,2018,5.933,1.148,1.454,0.671,0.363,0.092,0.066
Japan,2018,5.915,1.294,1.462,0.988,0.553,0.079,0.15
Mauritius,2018,5.891,1.09,1.387,0.684,0.584,0.245,0.05
Jamaica,2018,5.89,0.819,1.493,0.693,0.575,0.096,0.031
South Korea,2018,5.875,1.266,1.204,0.955,0.244,0.175,0.051
Northern Cyprus,2018,5.835,1.229,1.211,0.909,0.495,0.179,0.154
Russia,2018,5.81,1.151,1.479,0.599,0.399,0.065,0.025
Kazakhstan,2018,5.79,1.143,1.516,0.631,0.454,0.148,0.121
Cyprus,2018,5.762,1.229,1.191,0.909,0.423,0.202,0.035
Bolivia,2018,5.752,0.751,1.223,0.508,0.606,0.141,0.054
Estonia,2018,5.739,1.2,1.532,0.737,0.553,0.086,0.174
Paraguay,2018,5.681,0.835,1.522,0.615,0.541,0.162,0.074
Peru,2018,5.663,0.934,1.249,0.674,0.53,0.092,0.034
Kosovo,2018,5.662,0.855,1.23,0.578,0.448,0.274,0.023
Moldova,2018,5.64,0.657,1.301,0.62,0.232,0.171,0
Turkmenistan,2018,5.636,1.016,1.533,0.517,0.417,0.199,0.037
Hungary,2018,5.62,1.171,1.401,0.732,0.259,0.061,0.022
Libya,2018,5.566,0.985,1.35,0.553,0.496,0.116,0.148
Philippines,2018,5.524,0.775,1.312,0.513,0.643,0.12,0.105
Honduras,2018,5.504,0.62,1.205,0.622,0.459,0.197,0.074
Belarus,2018,5.483,1.039,1.498,0.7,0.307,0.101,0.154
Turkey,2018,5.483,1.148,1.38,0.686,0.324,0.106,0.109
